rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
49,come back to me,janet jackson,1990,2370,abandoned,-2,NA,anger
49,come back to me,janet jackson,1990,2370,abandoned,-2,NA,fear
49,come back to me,janet jackson,1990,2370,abandoned,-2,NA,negative
49,come back to me,janet jackson,1990,2370,abandoned,-2,NA,sadness
42,make it happen,mariah carey,1992,2554,abandoned,-2,NA,anger
42,make it happen,mariah carey,1992,2554,abandoned,-2,NA,fear
42,make it happen,mariah carey,1992,2554,abandoned,-2,NA,negative
42,make it happen,mariah carey,1992,2554,abandoned,-2,NA,sadness
87,everybody plays the fool,aaron neville,1991,2501,ability,2,NA,positive
99,they want efx,das efx,1992,2607,aboard,1,NA,NA
11,cmon n ride it the train,quad city djs,1996,2902,aboard,1,NA,NA
40,make em say uhh,master p featuring fiend silkk the shocker mia x and mystikal,1998,3113,aboard,1,NA,NA
44,1979,the smashing pumpkins,1996,2931,absorbed,1,NA,positive
44,1979,the smashing pumpkins,1996,2931,absorbed,1,NA,positive
37,slam,onyx,1993,2644,abused,-3,negative,NA
54,ready or not,after 7,1990,2375,accept,1,NA,NA
23,cant let go,mariah carey,1992,2535,accept,1,NA,NA
66,theme from mission impossible,adam clayton and larry mullen,1996,2950,accept,1,NA,NA
66,theme from mission impossible,adam clayton and larry mullen,1996,2950,accept,1,NA,NA
89,go the distance,michael bolton,1997,3066,accept,1,NA,NA
16,all i wanna do is make love to you,heart,1990,2338,accepted,1,NA,NA
43,all cried out,allure featuring 112,1997,3023,accepted,1,NA,NA
84,all cried out,allure featuring 112,1998,3154,accepted,1,NA,NA
35,mmm mmm mmm mmm,crash test dummies,1994,2735,accident,-2,NA,fear
35,mmm mmm mmm mmm,crash test dummies,1994,2735,accident,-2,NA,negative
35,mmm mmm mmm mmm,crash test dummies,1994,2735,accident,-2,NA,sadness
35,mmm mmm mmm mmm,crash test dummies,1994,2735,accident,-2,NA,surprise
78,jealousy,natalie merchant,1996,2961,accidentally,-2,NA,surprise
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,anger
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,fear
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,negative
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,anger
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,fear
57,just between you and me,lou gramm,1990,2378,accusing,-2,negative,negative
43,come to my window,melissa etheridge,1994,2743,ache,-2,negative,negative
43,come to my window,melissa etheridge,1994,2743,ache,-2,negative,sadness
44,im the only one,melissa etheridge,1995,2840,ache,-2,negative,negative
44,im the only one,melissa etheridge,1995,2840,ache,-2,negative,sadness
39,bohemian rhapsody,queen,1992,2551,aching,-2,negative,negative
39,bohemian rhapsody,queen,1992,2551,aching,-2,negative,sadness
66,in the closet,michael jackson,1992,2576,aching,-2,negative,negative
66,in the closet,michael jackson,1992,2576,aching,-2,negative,sadness
78,no more i love yous,annie lennox,1995,2873,aching,-2,negative,negative
78,no more i love yous,annie lennox,1995,2873,aching,-2,negative,sadness
94,opp,naughty by nature,1991,2507,admit,-1,NA,NA
63,i got a man,positive k,1993,2670,admit,-1,NA,NA
18,its all coming back to me now,celine dion,1996,2907,admit,-1,NA,NA
27,i cant sleep baby if i,r kelly,1996,2916,admit,-1,NA,NA
45,diggin on you,tlc,1996,2932,admit,-1,NA,NA
45,diggin on you,tlc,1996,2932,admit,-1,NA,NA
51,youll see,madonna,1996,2937,admit,-1,NA,NA
34,da dip,freak nasty,1997,3014,admit,-1,NA,NA
50,its all coming back to me now,celine dion,1997,3029,admit,-1,NA,NA
43,sweet lady,tyrese,1999,3211,admit,-1,NA,NA
60,trippin,total featuring missy elliott,1999,3227,admit,-1,NA,NA
60,trippin,total featuring missy elliott,1999,3227,admit,-1,NA,NA
79,i need to know,marc anthony,1999,3246,admit,-1,NA,NA
93,sock it 2 me,missy elliott featuring da brat,1998,3162,admitted,-1,NA,NA
62,the humpty dance,digital underground,1990,2383,adore,3,positive,anticipation
62,the humpty dance,digital underground,1990,2383,adore,3,positive,joy
62,the humpty dance,digital underground,1990,2383,adore,3,positive,positive
62,the humpty dance,digital underground,1990,2383,adore,3,positive,trust
10,baby baby,amy grant,1991,2428,adore,3,positive,anticipation
10,baby baby,amy grant,1991,2428,adore,3,positive,joy
10,baby baby,amy grant,1991,2428,adore,3,positive,positive
10,baby baby,amy grant,1991,2428,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,anticipation
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,joy
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,positive
18,i adore mi amor,color me badd,1991,2436,adore,3,positive,trust
52,i touch myself,divinyls,1991,2469,adore,3,positive,anticipation
52,i touch myself,divinyls,1991,2469,adore,3,positive,joy
52,i touch myself,divinyls,1991,2469,adore,3,positive,positive
52,i touch myself,divinyls,1991,2469,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
28,two princes,spin doctors,1993,2635,adore,3,positive,anticipation
28,two princes,spin doctors,1993,2635,adore,3,positive,joy
28,two princes,spin doctors,1993,2635,adore,3,positive,positive
28,two princes,spin doctors,1993,2635,adore,3,positive,trust
